名も無き被検体774号+ </b>(ﾜｯﾁｮｲWW c397-HbjE)<b><><>2018/08/05(日) 12:55:21.87 ID:JvKYAzho0<> 腹減った <>暇だから受験生のJKとお話しようや 	
名も無き被検体774号+ </b>(ｽｯｯﾌﾟ Sd1f-eXcO)<b><>sage<>2018/08/05(日) 12:55:56.67 ID:v87cXVYgd<> シコっとけよ <>
名も無き被検体774号+ </b>(ﾜｯﾁｮｲWW c397-HbjE)<b><><>2018/08/05(日) 12:56:37.56 ID:JvKYAzho0<> <a href="../test/read.cgi/news4viptasu/1533441321/2" rel="noopener noreferrer" target="_blank">&gt;&gt;2</a> <br> シコるものがないです～～～ <>
名も無き被検体774号+ </b>(ﾜｯﾁｮｲW 6311-j3zu)<b><><>2018/08/05(日) 12:58:28.67 ID:5zQeEV5o0<> 志望校は？ <>
名も無き被検体774号+ </b>(ﾜｯﾁｮｲWW c397-HbjE)<b><><>2018/08/05(日) 12:59:45.21 ID:JvKYAzho0<> <a href="../test/read.cgi/news4viptasu/1533441321/4" rel="noopener noreferrer" target="_blank">&gt;&gt;4</a> <br> 一応上智 <>
名も無き被検体774号+ </b>(ｽﾌﾟｯｯ Sd1f-Kr7V)<b><>sage<>2018/08/05(日) 13:01:07.62 ID:9CMjFs3nd<> この時期に暇ってことは上智余裕か <>
名も無き被検体774号+ </b>(ﾜｯﾁｮｲWW c397-HbjE)<b><><>2018/08/05(日) 13:03:16.51 ID:JvKYAzho0<> <a href="../test/read.cgi/news4viptasu/1533441321/6" rel="noopener noreferrer" target="_blank">&gt;&gt;6</a> <br> 指定校推薦だからね～まだ分からないけどどっかしらは取れるから <>
名も無き被検体774号+ </b>(ﾗｸｯﾍﾟ MM47-0IG8)<b><><>2018/08/05(日) 13:03:57.73 ID:MiMpO9cHM<> ペロペロ <>
名も無き被検体774号+ </b>(ﾜｯﾁｮｲ 0311-bALk)<b><><>2018/08/05(日) 13:08:43.48 ID:WUnyag1f0<> 生徒会長かなんかやっとんたんか？ <>
金トレーナー </b>(ﾜｯﾁｮｲW ff2c-Ddp7)<b><>sage<>2018/08/05(日) 13:09:19.09 ID:AAH9dARg0<> 指定校で上智取れるとか県内有数の進学校だろ <>
名も無き被検体774号+ </b>(ｱｳｱｳｶｰ Sa07-6XTO)<b><><>2018/08/05(日) 13:09:35.56 ID:wuyASSkHa<> 交際人数 <br> 経験人数 <br> 恋人の有無 <>
名も無き被検体774号+ </b>(ﾜｯﾁｮｲWW c397-HbjE)<b><><>2018/08/05(日) 13:09:42.53 ID:JvKYAzho0<> <a href="../test/read.cgi/news4viptasu/1533441321/8" rel="noopener noreferrer" target="_blank">&gt;&gt;8</a> <br> AVでも見てて <br>  <br> <a href="../test/read.cgi/news4viptasu/1533441321/9" rel="noopener noreferrer" target="_blank">&gt;&gt;9</a> <br> やってないよー 委員会で副委員長はしてたししてるけど <>
名も無き被検体774号+ </b>(ﾜｯﾁｮｲWW c397-HbjE)<b><><>2018/08/05(日) 13:10:14.76 ID:JvKYAzho0<> <a href="../test/read.cgi/news4viptasu/1533441321/11" rel="noopener noreferrer" target="_blank">&gt;&gt;11</a> <br> 1 <br> 0 <br> 無し <br>  <br> 女子校だからゆるちて <>
名も無き被検体774号+ </b>(ﾜｯﾁｮｲ 0311-bALk)<b><><>2018/08/05(日) 13:12:28.26 ID:WUnyag1f0<> <a href="../test/read.cgi/news4viptasu/1533441321/12" rel="noopener noreferrer" target="_blank">&gt;&gt;12</a> <br> 女子高でおじさん先生受けが凄まじい陽キャコミュ力お化けと見た。 <>
名も無き被検体774号+ </b>(ﾜｯﾁｮｲWW c397-HbjE)<b><><>2018/08/05(日) 13:13:33.41 ID:JvKYAzho0<> <a href="../test/read.cgi/news4viptasu/1533441321/14" rel="noopener noreferrer" target="_blank">&gt;&gt;14</a> <br> 先生受けはわかんねぇけど陰キャと陽キャの間みたいなアレだよ どっちとも絡めるみたいなやつ <>
名も無き被検体774号+ </b>(ﾜｯﾁｮｲ 0311-bALk)<b><><>2018/08/05(日) 13:14:22.58 ID:WUnyag1f0<> <a href="../test/read.cgi/news4viptasu/1533441321/15" rel="noopener noreferrer" target="_blank">&gt;&gt;15</a> <br> なんだ普通にいい奴か <>
名も無き被検体774号+ </b>(ﾜｯﾁｮｲWW c397-HbjE)<b><><>2018/08/05(日) 13:14:56.85 ID:JvKYAzho0<> <a href="../test/read.cgi/news4viptasu/1533441321/16" rel="noopener noreferrer" target="_blank">&gt;&gt;16</a> <br> クズだぞ <>
金トレーナー </b>(ﾜｯﾁｮｲW ff2c-Ddp7)<b><>sage<>2018/08/05(日) 13:15:01.49 ID:AAH9dARg0<> 女子校ってことは桜蔭か <>
名も無き被検体774号+ </b>(ﾜｯﾁｮｲ 0311-bALk)<b><><>2018/08/05(日) 13:16:14.44 ID:WUnyag1f0<> 田舎の白百合とかでも最上位なら上智だな <>
